Project_ID,Industry,Agent_Type,Primary_Tool,Status,Failure_Reason,Human_in_the_Loop_Ratio,Tokens_per_Task,ROI_Score
AGP-1887,Finance,Autonomous,CrewAI,Abandoned,Loop Error,0.076,2523,-0.63
AGP-1888,Healthcare,Autonomous,LangGraph,Abandoned,Loop Error,0.196,4385,-0.86
AGP-1889,Energy,Assistant,CrewAI,Pilot,Security Violation,0.651,1566,0.08
AGP-1890,Retail,Assistant,CrewAI,Pilot,Security Violation,0.766,6397,0.12
AGP-1891,Healthcare,Autonomous,CrewAI,Abandoned,Loop Error,0.47,4128,-0.82
AGP-1892,Insurance,Multi-agent Swarm,LangGraph,Abandoned,Schema Drift,0.297,3906,-0.58
AGP-1893,Manufacturing,Assistant,LangGraph,Production,,0.742,5030,3.56
AGP-1894,Finance,Assistant,LangGraph,Pilot,Cost Overrun,0.618,5437,0.65
AGP-1895,Legal,Assistant,LangGraph,Abandoned,Loop Error,0.898,2819,0.08
AGP-1896,Healthcare,Assistant,LangGraph,Production,,0.266,6437,2.87
AGP-1897,Technology,Autonomous,AutoGPT 3.0,Production,,0.413,9105,2.14
AGP-1898,Healthcare,Multi-agent Swarm,LangGraph,Abandoned,Loop Error,0.531,9822,-1.45
AGP-1899,Finance,Autonomous,CrewAI,Abandoned,Schema Drift,0.035,4762,0.11
AGP-1900,Finance,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Loop Error,0.485,9217,-1.46
AGP-1901,Technology,Multi-agent Swarm,LangGraph,Production,,0.534,6023,1.47
AGP-1902,Finance,Assistant,CrewAI,Production,,0.751,2000,3.41
AGP-1903,Energy,Autonomous,CrewAI,Production,,0.147,3921,3.26
AGP-1904,Finance,Autonomous,LangGraph,Pilot,Cost Overrun,0.419,2700,0.08
AGP-1905,Technology,Assistant,CrewAI,Production,,0.935,3592,3.79
AGP-1906,Retail,Assistant,AutoGPT 3.0,Production,,0.765,6887,3.87
AGP-1907,Retail,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.1,8307,0.65
AGP-1908,Finance,Assistant,AutoGPT 3.0,Pilot,Security Violation,0.636,6898,0.63
AGP-1909,Energy,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Loop Error,0.405,4487,-0.29
AGP-1910,Government,Autonomous,LangGraph,Abandoned,Loop Error,0.071,2543,-0.43
AGP-1911,Finance,Assistant,CrewAI,Pilot,Loop Error,0.74,4373,1.11
AGP-1912,Healthcare,Autonomous,CrewAI,Pilot,Loop Error,0.13,4764,1.37
AGP-1913,Government,Assistant,CrewAI,Pilot,Schema Drift,0.869,4077,0.85
AGP-1914,Manufacturing,Autonomous,CrewAI,Abandoned,Loop Error,0.1,3260,-1.0
AGP-1915,Finance,Autonomous,CrewAI,Abandoned,Cost Overrun,0.188,4023,-0.54
AGP-1916,Healthcare,Multi-agent Swarm,AutoGPT 3.0,Pilot,Loop Error,0.497,5542,0.44
AGP-1917,Technology,Assistant,LangGraph,Pilot,Schema Drift,0.616,3177,0.75
AGP-1918,Technology,Autonomous,CrewAI,Abandoned,Security Violation,0.087,3531,-0.95
AGP-1919,Technology,Autonomous,LangGraph,Production,,0.058,4648,2.12
AGP-1920,Telecom,Assistant,CrewAI,Abandoned,Loop Error,0.442,4639,-0.84
AGP-1921,Manufacturing,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.214,4974,2.64
AGP-1922,Legal,Autonomous,AutoGPT 3.0,Pilot,Cost Overrun,0.268,7804,0.41
AGP-1923,Retail,Assistant,CrewAI,Production,,0.592,4254,2.85
AGP-1924,Legal,Autonomous,CrewAI,Pilot,Cost Overrun,0.385,5848,-0.57
AGP-1925,Healthcare,Assistant,LangGraph,Production,,0.843,3786,2.87
AGP-1926,Finance,Assistant,LangGraph,Abandoned,Loop Error,0.677,4288,-0.61
AGP-1927,Legal,Autonomous,LangGraph,Pilot,Loop Error,0.174,4521,0.95
AGP-1928,Technology,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.08,7012,-0.02
AGP-1929,Finance,Autonomous,LangGraph,Abandoned,Security Violation,0.059,3683,-0.02
AGP-1930,Retail,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.193,7079,-1.12
AGP-1931,Technology,Autonomous,LangGraph,Production,,0.07,3158,4.18
AGP-1932,Technology,Multi-agent Swarm,CrewAI,Pilot,Loop Error,0.363,7726,1.18
AGP-1933,Insurance,Multi-agent Swarm,CrewAI,Production,,0.159,7534,2.59
AGP-1934,Energy,Assistant,CrewAI,Pilot,Cost Overrun,0.799,6713,-0.77
AGP-1935,Technology,Assistant,CrewAI,Abandoned,Loop Error,0.695,3873,-0.18
AGP-1936,Finance,Assistant,CrewAI,Production,,0.99,6195,3.55
AGP-1937,Retail,Multi-agent Swarm,AutoGPT 3.0,Pilot,Loop Error,0.402,10451,-0.84
AGP-1938,Technology,Autonomous,CrewAI,Abandoned,Loop Error,0.081,2951,-0.58
AGP-1939,Healthcare,Autonomous,LangGraph,Production,,0.218,4017,1.31
AGP-1940,Finance,Autonomous,LangGraph,Pilot,Schema Drift,0.282,2308,0.33
AGP-1941,Healthcare,Autonomous,CrewAI,Abandoned,Schema Drift,0.405,2651,-0.36
AGP-1942,Retail,Autonomous,CrewAI,Abandoned,Cost Overrun,0.182,4451,-1.35
AGP-1943,Retail,Multi-agent Swarm,CrewAI,Abandoned,Security Violation,0.657,9714,-0.73
AGP-1944,Healthcare,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.785,8460,-0.47
AGP-1945,Energy,Autonomous,LangGraph,Abandoned,Cost Overrun,0.139,3595,-0.35
AGP-1946,Government,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.849,7946,0.5
AGP-1947,Healthcare,Assistant,CrewAI,Production,,0.827,4507,2.88
AGP-1948,Government,Assistant,CrewAI,Pilot,Cost Overrun,0.71,2990,0.28
AGP-1949,Finance,Assistant,CrewAI,Pilot,Security Violation,0.709,1273,-0.04
AGP-1950,Government,Autonomous,AutoGPT 3.0,Pilot,Security Violation,0.351,10591,1.7
AGP-1951,Telecom,Multi-agent Swarm,CrewAI,Abandoned,Loop Error,0.397,4602,-0.98
AGP-1952,Finance,Multi-agent Swarm,AutoGPT 3.0,Pilot,Security Violation,0.285,5293,-0.24
AGP-1953,Insurance,Assistant,LangGraph,Abandoned,Schema Drift,0.744,3551,-0.01
AGP-1954,Telecom,Assistant,CrewAI,Production,,0.969,2295,3.03
AGP-1955,Government,Assistant,CrewAI,Production,,0.794,3237,1.83
AGP-1956,Telecom,Autonomous,CrewAI,Pilot,Cost Overrun,0.252,1484,1.64
AGP-1957,Manufacturing,Autonomous,LangGraph,Pilot,Loop Error,0.01,4149,0.87
AGP-1958,Finance,Assistant,CrewAI,Pilot,Loop Error,0.865,3741,1.82
AGP-1959,Energy,Autonomous,LangGraph,Production,,0.151,5501,3.08
AGP-1960,Technology,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Cost Overrun,0.421,7853,-1.93
AGP-1961,Technology,Assistant,LangGraph,Abandoned,Loop Error,0.597,5405,-0.53
AGP-1962,Retail,Assistant,LangGraph,Pilot,Schema Drift,0.582,4109,0.23
AGP-1963,Manufacturing,Autonomous,CrewAI,Pilot,Schema Drift,0.5,3907,1.47
AGP-1964,Finance,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.312,7531,-0.89
AGP-1965,Insurance,Autonomous,LangGraph,Abandoned,Security Violation,0.166,4382,-0.71
AGP-1966,Finance,Autonomous,CrewAI,Pilot,Loop Error,0.223,4801,-0.22
AGP-1967,Technology,Autonomous,CrewAI,Pilot,Loop Error,0.398,5050,0.35
AGP-1968,Energy,Assistant,LangGraph,Production,,0.99,2802,3.36
AGP-1969,Retail,Multi-agent Swarm,CrewAI,Pilot,Loop Error,0.567,2463,0.27
AGP-1970,Manufacturing,Autonomous,CrewAI,Pilot,Loop Error,0.268,1688,0.63
AGP-1971,Legal,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Cost Overrun,0.473,7185,-1.22
AGP-1972,Telecom,Autonomous,LangGraph,Pilot,Security Violation,0.14,3126,0.11
AGP-1973,Insurance,Assistant,LangGraph,Pilot,Cost Overrun,0.718,4407,0.78
AGP-1974,Legal,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.388,10074,-0.39
AGP-1975,Healthcare,Assistant,CrewAI,Pilot,Schema Drift,0.398,1344,0.05
AGP-1976,Healthcare,Assistant,LangGraph,Abandoned,Cost Overrun,0.852,3499,0.8
AGP-1977,Retail,Assistant,AutoGPT 3.0,Production,,0.806,3950,1.0
AGP-1978,Telecom,Autonomous,LangGraph,Abandoned,Loop Error,0.223,2335,0.03
AGP-1979,Insurance,Multi-agent Swarm,AutoGPT 3.0,Pilot,Schema Drift,0.526,5497,0.96
AGP-1980,Healthcare,Multi-agent Swarm,CrewAI,Abandoned,Cost Overrun,0.432,6018,-0.6
AGP-1981,Energy,Assistant,AutoGPT 3.0,Abandoned,Loop Error,0.469,8315,-1.14
AGP-1982,Retail,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.525,11882,0.55
AGP-1983,Energy,Multi-agent Swarm,LangGraph,Abandoned,Schema Drift,0.102,525,-0.52
AGP-1984,Healthcare,Autonomous,AutoGPT 3.0,Abandoned,Schema Drift,0.44,8773,-1.38
AGP-1985,Technology,Multi-agent Swarm,LangGraph,Abandoned,Cost Overrun,0.275,6615,-1.44
AGP-1986,Government,Autonomous,CrewAI,Pilot,Loop Error,0.146,4190,0.82
AGP-1987,Healthcare,Multi-agent Swarm,CrewAI,Abandoned,Security Violation,0.19,7427,-0.84
AGP-1988,Technology,Autonomous,LangGraph,Production,,0.319,3529,2.98
AGP-1989,Telecom,Autonomous,LangGraph,Abandoned,Cost Overrun,0.268,2448,-1.5
AGP-1990,Finance,Assistant,LangGraph,Abandoned,Loop Error,0.56,4149,0.56
AGP-1991,Finance,Assistant,LangGraph,Pilot,Loop Error,0.653,3309,-0.11
AGP-1992,Technology,Multi-agent Swarm,LangGraph,Abandoned,Security Violation,0.434,5769,0.22
AGP-1993,Legal,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Schema Drift,0.545,18037,-0.43
AGP-1994,Finance,Autonomous,CrewAI,Abandoned,Loop Error,0.445,4521,-0.12
AGP-1995,Retail,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.478,7491,-0.77
AGP-1996,Insurance,Assistant,AutoGPT 3.0,Pilot,Cost Overrun,0.767,4056,0.2
AGP-1997,Healthcare,Assistant,CrewAI,Pilot,Schema Drift,0.716,4830,1.12
AGP-1998,Legal,Assistant,LangGraph,Pilot,Schema Drift,0.397,4972,-0.48
AGP-1999,Energy,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Loop Error,0.343,9840,-0.42
AGP-2000,Manufacturing,Multi-agent Swarm,CrewAI,Pilot,Loop Error,0.177,4986,-0.51
AGP-2001,Energy,Autonomous,CrewAI,Abandoned,Loop Error,0.164,4428,-0.34
AGP-2002,Retail,Assistant,AutoGPT 3.0,Production,,0.816,6547,2.3
AGP-2003,Telecom,Assistant,CrewAI,Production,,0.939,6149,2.76
AGP-2004,Technology,Assistant,CrewAI,Pilot,Schema Drift,0.304,2655,0.41
AGP-2005,Finance,Autonomous,AutoGPT 3.0,Abandoned,Security Violation,0.17,4485,-0.02
AGP-2006,Government,Assistant,CrewAI,Production,,0.701,4349,3.6
AGP-2007,Retail,Assistant,AutoGPT 3.0,Production,,0.787,2798,3.23
AGP-2008,Finance,Autonomous,LangGraph,Pilot,Cost Overrun,0.054,4187,0.82
AGP-2009,Finance,Multi-agent Swarm,LangGraph,Abandoned,Security Violation,0.196,4215,-0.53
AGP-2010,Technology,Autonomous,CrewAI,Pilot,Schema Drift,0.436,4699,0.76
AGP-2011,Finance,Assistant,LangGraph,Production,,0.87,3619,2.08
AGP-2012,Healthcare,Assistant,AutoGPT 3.0,Pilot,Security Violation,0.82,7343,-0.22
AGP-2013,Finance,Multi-agent Swarm,LangGraph,Pilot,Security Violation,0.21,3526,-0.17
AGP-2014,Retail,Autonomous,CrewAI,Abandoned,Loop Error,0.216,3381,-0.52
AGP-2015,Retail,Autonomous,LangGraph,Pilot,Security Violation,0.074,3613,0.57
AGP-2016,Manufacturing,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.314,7650,-1.51
AGP-2017,Healthcare,Assistant,LangGraph,Abandoned,Loop Error,0.636,5505,-1.04
AGP-2018,Finance,Autonomous,LangGraph,Pilot,Loop Error,0.373,2754,0.99
AGP-2019,Technology,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.519,6359,1.2
AGP-2020,Retail,Autonomous,CrewAI,Pilot,Security Violation,0.223,4412,-0.61
AGP-2021,Technology,Autonomous,AutoGPT 3.0,Abandoned,Cost Overrun,0.428,12044,-0.44
AGP-2022,Finance,Assistant,AutoGPT 3.0,Production,,0.804,6019,2.05
AGP-2023,Finance,Multi-agent Swarm,LangGraph,Pilot,Cost Overrun,0.849,3803,-0.27
AGP-2024,Healthcare,Multi-agent Swarm,CrewAI,Pilot,Security Violation,0.237,8235,-0.32
AGP-2025,Retail,Assistant,LangGraph,Pilot,Cost Overrun,0.71,4269,1.88
AGP-2026,Retail,Assistant,CrewAI,Production,,0.535,3499,2.26
AGP-2027,Energy,Assistant,CrewAI,Pilot,Schema Drift,0.493,5882,0.36
AGP-2028,Retail,Assistant,LangGraph,Pilot,Cost Overrun,0.639,3742,0.31
AGP-2029,Manufacturing,Autonomous,CrewAI,Abandoned,Loop Error,0.679,2779,-1.04
AGP-2030,Technology,Assistant,AutoGPT 3.0,Pilot,Security Violation,0.761,4977,0.42
AGP-2031,Finance,Multi-agent Swarm,LangGraph,Pilot,Schema Drift,0.375,8519,-0.27
AGP-2032,Manufacturing,Autonomous,LangGraph,Abandoned,Loop Error,0.177,4412,-0.74
AGP-2033,Legal,Assistant,LangGraph,Abandoned,Loop Error,0.653,3639,-0.23
AGP-2034,Retail,Assistant,LangGraph,Pilot,Loop Error,0.739,3689,0.18
AGP-2035,Finance,Assistant,LangGraph,Abandoned,Loop Error,0.975,3223,-0.6
AGP-2036,Insurance,Autonomous,CrewAI,Pilot,Security Violation,0.49,757,0.81
AGP-2037,Telecom,Assistant,LangGraph,Abandoned,Cost Overrun,0.661,3366,-0.49
AGP-2038,Finance,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.509,13826,0.74
AGP-2039,Technology,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.458,4882,-0.8
AGP-2040,Insurance,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.393,3901,-0.12
AGP-2041,Healthcare,Autonomous,CrewAI,Abandoned,Cost Overrun,0.131,3393,-0.46
AGP-2042,Insurance,Autonomous,LangGraph,Abandoned,Schema Drift,0.13,2829,-1.31
AGP-2043,Technology,Multi-agent Swarm,LangGraph,Pilot,Schema Drift,0.362,4340,-0.17
AGP-2044,Government,Assistant,LangGraph,Pilot,Security Violation,0.727,3081,0.51
AGP-2045,Telecom,Assistant,AutoGPT 3.0,Production,,0.632,5420,3.11
AGP-2046,Finance,Autonomous,AutoGPT 3.0,Pilot,Schema Drift,0.378,3459,0.02
AGP-2047,Retail,Multi-agent Swarm,LangGraph,Abandoned,Loop Error,0.482,3114,-0.58
AGP-2048,Manufacturing,Autonomous,LangGraph,Abandoned,Loop Error,0.136,5947,-1.6
AGP-2049,Finance,Assistant,CrewAI,Pilot,Schema Drift,0.496,7925,0.71
AGP-2050,Legal,Autonomous,LangGraph,Pilot,Cost Overrun,0.07,3255,-0.24
AGP-2051,Telecom,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.052,3410,-0.22
AGP-2052,Finance,Assistant,LangGraph,Pilot,Loop Error,0.4,2033,0.8
AGP-2053,Retail,Autonomous,LangGraph,Abandoned,Cost Overrun,0.22,4202,-0.4
AGP-2054,Energy,Assistant,CrewAI,Pilot,Loop Error,0.733,5365,0.35
AGP-2055,Legal,Autonomous,LangGraph,Pilot,Cost Overrun,0.404,2944,0.11
AGP-2056,Retail,Assistant,LangGraph,Pilot,Schema Drift,0.771,4103,2.05
AGP-2057,Telecom,Multi-agent Swarm,AutoGPT 3.0,Pilot,Schema Drift,0.529,11357,-0.71
AGP-2058,Retail,Assistant,LangGraph,Production,,0.754,4367,2.92
AGP-2059,Finance,Autonomous,CrewAI,Production,,0.36,4156,2.98
AGP-2060,Finance,Assistant,LangGraph,Production,,0.73,3001,3.22
AGP-2061,Telecom,Multi-agent Swarm,LangGraph,Abandoned,Cost Overrun,0.68,4153,-0.46
AGP-2062,Healthcare,Autonomous,LangGraph,Pilot,Cost Overrun,0.248,3837,-0.09
AGP-2063,Manufacturing,Autonomous,LangGraph,Pilot,Security Violation,0.287,3902,0.08
AGP-2064,Finance,Multi-agent Swarm,LangGraph,Abandoned,Schema Drift,0.639,6762,-0.24
AGP-2065,Retail,Autonomous,LangGraph,Abandoned,Loop Error,0.198,4127,-0.55
AGP-2066,Government,Assistant,AutoGPT 3.0,Production,,0.794,8691,0.65
AGP-2067,Manufacturing,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.529,6068,1.17
AGP-2068,Telecom,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.025,7605,-2.0
AGP-2069,Healthcare,Assistant,CrewAI,Pilot,Loop Error,0.56,6389,0.17
AGP-2070,Manufacturing,Assistant,CrewAI,Production,,0.826,5321,2.56
AGP-2071,Energy,Autonomous,CrewAI,Pilot,Schema Drift,0.256,5172,1.22
AGP-2072,Retail,Multi-agent Swarm,LangGraph,Production,,0.482,8718,2.0
AGP-2073,Healthcare,Autonomous,LangGraph,Pilot,Loop Error,0.614,2989,0.07
AGP-2074,Energy,Assistant,CrewAI,Production,,0.661,5413,2.72
AGP-2075,Retail,Multi-agent Swarm,AutoGPT 3.0,Pilot,Cost Overrun,0.311,3247,-0.34
AGP-2076,Manufacturing,Autonomous,CrewAI,Production,,0.21,3338,5.0
AGP-2077,Telecom,Multi-agent Swarm,LangGraph,Pilot,Loop Error,0.539,5693,0.04
AGP-2078,Healthcare,Autonomous,AutoGPT 3.0,Abandoned,Cost Overrun,0.333,3236,-0.38
AGP-2079,Legal,Assistant,LangGraph,Pilot,Loop Error,0.654,3908,1.5
AGP-2080,Finance,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.034,6424,1.04
AGP-2081,Retail,Assistant,AutoGPT 3.0,Production,,0.596,4456,2.66
AGP-2082,Healthcare,Multi-agent Swarm,AutoGPT 3.0,Pilot,Loop Error,0.881,9448,1.09
AGP-2083,Technology,Multi-agent Swarm,AutoGPT 3.0,Pilot,Cost Overrun,0.365,4025,1.02
AGP-2084,Healthcare,Multi-agent Swarm,LangGraph,Abandoned,Loop Error,0.276,4295,-0.16
AGP-2085,Technology,Assistant,CrewAI,Abandoned,Loop Error,0.731,4395,-0.85
AGP-2086,Healthcare,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Loop Error,0.514,5105,-0.04
AGP-2087,Legal,Assistant,CrewAI,Pilot,Cost Overrun,0.864,4176,0.59
AGP-2088,Legal,Multi-agent Swarm,LangGraph,Pilot,Schema Drift,0.672,9377,1.21
AGP-2089,Technology,Assistant,LangGraph,Abandoned,Cost Overrun,0.707,3927,-0.19
AGP-2090,Retail,Multi-agent Swarm,LangGraph,Pilot,Loop Error,0.368,7649,-0.67
AGP-2091,Legal,Autonomous,CrewAI,Abandoned,Cost Overrun,0.076,500,-0.26
AGP-2092,Energy,Assistant,CrewAI,Pilot,Loop Error,0.689,2279,0.69
AGP-2093,Manufacturing,Assistant,AutoGPT 3.0,Abandoned,Loop Error,0.871,8814,-0.34
AGP-2094,Healthcare,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.124,6186,-0.01
AGP-2095,Government,Autonomous,CrewAI,Production,,0.242,2628,2.67
AGP-2096,Legal,Multi-agent Swarm,LangGraph,Pilot,Loop Error,0.716,5404,0.98
AGP-2097,Finance,Assistant,CrewAI,Pilot,Loop Error,0.541,3990,-0.0
AGP-2098,Manufacturing,Autonomous,LangGraph,Pilot,Loop Error,0.169,2450,1.11
AGP-2099,Finance,Autonomous,LangGraph,Abandoned,Cost Overrun,0.453,2981,-0.05
AGP-2100,Healthcare,Assistant,LangGraph,Production,,0.612,4451,1.48
AGP-2101,Insurance,Assistant,LangGraph,Production,,0.879,3164,3.81
AGP-2102,Finance,Multi-agent Swarm,LangGraph,Pilot,Security Violation,0.572,4772,-0.11
AGP-2103,Energy,Multi-agent Swarm,CrewAI,Abandoned,Security Violation,0.193,8190,-0.11
AGP-2104,Government,Assistant,LangGraph,Pilot,Cost Overrun,0.799,2822,0.44
AGP-2105,Technology,Assistant,LangGraph,Pilot,Security Violation,0.642,2224,1.09
AGP-2106,Technology,Autonomous,LangGraph,Abandoned,Security Violation,0.542,3514,-1.37
AGP-2107,Technology,Multi-agent Swarm,CrewAI,Pilot,Cost Overrun,0.798,5809,0.62
AGP-2108,Telecom,Autonomous,CrewAI,Production,,0.511,3413,2.49
AGP-2109,Legal,Autonomous,LangGraph,Abandoned,Loop Error,0.239,4379,-0.36
AGP-2110,Healthcare,Multi-agent Swarm,LangGraph,Pilot,Loop Error,0.281,7327,1.88
AGP-2111,Manufacturing,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Cost Overrun,0.167,8493,-1.9
AGP-2112,Manufacturing,Autonomous,CrewAI,Abandoned,Schema Drift,0.102,2744,-0.55
AGP-2113,Healthcare,Assistant,CrewAI,Production,,0.886,3310,3.99
AGP-2114,Technology,Assistant,CrewAI,Pilot,Cost Overrun,0.772,5071,-0.32
AGP-2115,Finance,Autonomous,AutoGPT 3.0,Pilot,Security Violation,0.692,9342,-0.4
AGP-2116,Government,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.074,7436,0.15
AGP-2117,Healthcare,Autonomous,LangGraph,Pilot,Security Violation,0.134,4103,0.1
AGP-2118,Finance,Assistant,CrewAI,Pilot,Loop Error,0.842,2616,1.34
AGP-2119,Finance,Assistant,LangGraph,Production,,0.917,5351,3.89
AGP-2120,Healthcare,Assistant,CrewAI,Abandoned,Loop Error,0.895,6189,-1.02
AGP-2121,Healthcare,Autonomous,LangGraph,Pilot,Cost Overrun,0.365,3554,0.62
AGP-2122,Finance,Multi-agent Swarm,LangGraph,Abandoned,Cost Overrun,0.291,9278,-1.7
AGP-2123,Healthcare,Assistant,AutoGPT 3.0,Abandoned,Cost Overrun,0.761,6631,-0.09
AGP-2124,Healthcare,Multi-agent Swarm,AutoGPT 3.0,Abandoned,Cost Overrun,0.634,10701,-0.52
AGP-2125,Retail,Autonomous,LangGraph,Abandoned,Schema Drift,0.213,3159,-0.5
AGP-2126,Retail,Assistant,AutoGPT 3.0,Production,,0.453,10423,1.39
AGP-2127,Legal,Multi-agent Swarm,LangGraph,Pilot,Schema Drift,0.336,6224,0.78
AGP-2128,Legal,Autonomous,CrewAI,Pilot,Schema Drift,0.187,1650,0.77
AGP-2129,Finance,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.258,8009,-1.16
AGP-2130,Finance,Autonomous,LangGraph,Abandoned,Cost Overrun,0.221,4769,-0.03
AGP-2131,Healthcare,Autonomous,CrewAI,Abandoned,Schema Drift,0.234,6025,-0.64
AGP-2132,Insurance,Assistant,CrewAI,Abandoned,Security Violation,0.982,3733,-0.37
AGP-2133,Telecom,Autonomous,LangGraph,Pilot,Loop Error,0.079,3180,0.36
AGP-2134,Government,Autonomous,CrewAI,Pilot,Security Violation,0.073,5157,0.43
AGP-2135,Manufacturing,Assistant,LangGraph,Production,,0.661,6797,2.96
AGP-2136,Manufacturing,Autonomous,CrewAI,Pilot,Loop Error,0.173,6581,1.29
AGP-2137,Legal,Autonomous,LangGraph,Abandoned,Schema Drift,0.144,3873,-0.39
AGP-2138,Insurance,Assistant,LangGraph,Abandoned,Security Violation,0.434,627,-0.58
AGP-2139,Insurance,Autonomous,CrewAI,Abandoned,Loop Error,0.638,5151,-1.38
AGP-2140,Energy,Autonomous,LangGraph,Pilot,Loop Error,0.049,5680,0.07
AGP-2141,Government,Autonomous,CrewAI,Abandoned,Loop Error,0.252,4468,-0.63
AGP-2142,Retail,Autonomous,CrewAI,Pilot,Cost Overrun,0.197,2499,0.49
AGP-2143,Insurance,Assistant,AutoGPT 3.0,Abandoned,Loop Error,0.507,5810,-1.69
AGP-2144,Energy,Autonomous,LangGraph,Pilot,Loop Error,0.057,3232,0.22
AGP-2145,Legal,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.198,7643,-0.71
AGP-2146,Government,Multi-agent Swarm,CrewAI,Pilot,Schema Drift,0.263,6322,-0.31
AGP-2147,Finance,Multi-agent Swarm,LangGraph,Pilot,Schema Drift,0.338,6291,0.84
AGP-2148,Telecom,Autonomous,AutoGPT 3.0,Production,,0.668,6578,4.34
AGP-2149,Insurance,Autonomous,CrewAI,Pilot,Schema Drift,0.543,5256,1.55
AGP-2150,Finance,Assistant,CrewAI,Pilot,Schema Drift,0.638,3708,-0.14
AGP-2151,Technology,Multi-agent Swarm,CrewAI,Abandoned,Cost Overrun,0.534,6302,-0.06
AGP-2152,Finance,Multi-agent Swarm,CrewAI,Abandoned,Security Violation,0.59,3848,-0.3
AGP-2153,Insurance,Autonomous,AutoGPT 3.0,Pilot,Cost Overrun,0.508,8574,0.77
AGP-2154,Insurance,Autonomous,CrewAI,Abandoned,Cost Overrun,0.228,4032,-0.7
AGP-2155,Technology,Assistant,AutoGPT 3.0,Abandoned,Cost Overrun,0.519,7312,-1.51
AGP-2156,Energy,Multi-agent Swarm,CrewAI,Abandoned,Cost Overrun,0.495,4911,-0.13
AGP-2157,Finance,Multi-agent Swarm,AutoGPT 3.0,Pilot,Loop Error,0.172,7082,-0.1
AGP-2158,Healthcare,Autonomous,AutoGPT 3.0,Pilot,Loop Error,0.412,6740,1.02
AGP-2159,Retail,Assistant,LangGraph,Abandoned,Security Violation,0.935,1857,-0.41
AGP-2160,Finance,Autonomous,LangGraph,Pilot,Security Violation,0.285,5450,0.74
AGP-2161,Retail,Assistant,CrewAI,Pilot,Loop Error,0.606,3119,0.29
AGP-2162,Healthcare,Multi-agent Swarm,CrewAI,Abandoned,Loop Error,0.671,6160,-0.67
AGP-2163,Retail,Assistant,CrewAI,Pilot,Cost Overrun,0.602,2823,1.07
AGP-2164,Retail,Autonomous,AutoGPT 3.0,Abandoned,Loop Error,0.085,8538,-0.71
AGP-2165,Government,Assistant,AutoGPT 3.0,Pilot,Loop Error,0.906,4200,0.41
AGP-2166,Healthcare,Assistant,LangGraph,Abandoned,Security Violation,0.952,4080,-0.13
AGP-2167,Government,Multi-agent Swarm,CrewAI,Abandoned,Schema Drift,0.343,7776,-0.06
AGP-2168,Retail,Autonomous,LangGraph,Abandoned,Cost Overrun,0.156,4177,-1.08
AGP-2169,Legal,Multi-agent Swarm,CrewAI,Abandoned,Schema Drift,0.473,6882,0.64
AGP-2170,Manufacturing,Autonomous,LangGraph,Abandoned,Loop Error,0.147,5311,-1.18
AGP-2171,Retail,Autonomous,CrewAI,Pilot,Loop Error,0.076,6466,0.84
AGP-2172,Healthcare,Autonomous,CrewAI,Abandoned,Schema Drift,0.295,5566,-0.39
AGP-2173,Manufacturing,Autonomous,CrewAI,Abandoned,Loop Error,0.241,4156,-0.4
AGP-2174,Finance,Autonomous,CrewAI,Production,,0.331,2142,3.07
AGP-2175,Legal,Assistant,LangGraph,Pilot,Cost Overrun,0.732,4985,0.66
AGP-2176,Manufacturing,Autonomous,LangGraph,Pilot,Security Violation,0.143,4328,-0.13
AGP-2177,Retail,Autonomous,LangGraph,Production,,0.119,4180,2.25
